id,category,filename,priority,duration_seconds,loop,format,lufs,prompt
S3,SFX,Sfx/Hit/boss_hit,P0,0.3,no,wav,-9,"An impact sound effect for landing a hit on a boss enemy in a tower-defense game, industrial aesthetic. A heavy metallic bell-collision plus a low-frequency thud impact. The player must feel they are hurting something colossal. 250-350ms, mono, -9 LUFS, with a solid 80Hz impact component, no clipping. Must evoke the last railway of a dying ember civilization. NO generic explosion, NO cartoonish bonk."
S4,SFX,Sfx/Status/armor_break,P1,0.25,no,wav,-15,"An armor-break status sound effect for a tower-defense game, industrial aesthetic. The sound of chitin or metal plating shattering from solid to loose: a tight 'crack' opening into a 'crumble' cascade. Emphasize the feeling of a defense being stripped away. 200-300ms, mono, -15 LUFS, no clipping. Must evoke the last railway of a dying ember civilization. NO glass-shatter cliché, NO cartoonish crumble."
S5,SFX,Sfx/Status/slow_apply,P1,0.22,no,wav,-18,"A slow-status application sound effect for a tower-defense game, industrial aesthetic. A sensation of viscosity and freezing: a short wet-ice hiss plus a downward pitch bend. Cold and sticky. 180-250ms, mono, -18 LUFS, no clipping. Must evoke the last railway of a dying ember civilization. NO cartoonish slipping, NO ice-magic sparkles."
S6,SFX,Sfx/Status/expose_mark,P2,0.45,no,wav,-18,"An expose-mark status sound effect for a tower-defense game, industrial aesthetic. A single crisp metallic 'ting' impact followed by a sustained low-frequency hum onset that conveys the mark's ongoing presence. 150ms strike plus 300ms tail, mono, -18 LUFS, no clipping. Must evoke the last railway of a dying ember civilization. NO targeting-computer beeps, NO sci-fi scanner sweeps."
S7,SFX,Sfx/Enemy/death_generic,P0,0.25,no,wav,-15,"A generic enemy-death sound effect for a tower-defense game, industrial dark ambient aesthetic. The collapse of chitin or biomass: a soft 'fump' followed by an ash-scatter tail. Not gory or wet — the feeling is of a creature dissolving into dust. 250ms, mono, -15 LUFS, no clipping. Must evoke the last railway of a dying ember civilization. NO blood splatter, NO cartoonish poof."
S8,SFX,Sfx/Enemy/enemy_leak,P0,0.4,no,wav,-9,"A critical enemy-leak alarm sound effect for a tower-defense game — plays when an enemy breaches the line. Piercing but short metallic whistle-screech plus a heavy iron-gate slam impact. Must make the player's stomach drop. This is a critical-layer cue and must not be masked by anything. 400ms, mono, -9 LUFS, no clipping. Must evoke the last railway of a dying ember civilization. NO cartoonish buzzer, NO generic alarm."
S9,SFX,Sfx/Enemy/boss_spawn,P0,3,no,wav,-6,"A boss-spawn sound effect for a tower-defense game, industrial dark ambient aesthetic. A distant long siren wail (2 seconds) plus a ground-shaking low-frequency rumble plus metallic stress-groan sounds. Builds dread that something colossal has arrived. 3 seconds, mono, -6 LUFS, critical layer — must cut through any mix, no clipping. Must evoke the last railway of a dying ember civilization. NO monster roar cliché, NO kaiju screech."
S10,SFX,Sfx/Enemy/boss_phase_shift,P0,1.2,no,wav,-6,"A boss-phase-shift sound effect for a tower-defense game, industrial dark ambient aesthetic. A furnace-blast 'roar' plus mechanical-overload metallic distortion plus one descending detuned slide. Marks the boss entering a new and more dangerous phase. 1.2 seconds, mono, -6 LUFS, critical layer — must cut through, no clipping. Must evoke the last railway of a dying ember civilization. NO generic phase-change synth, NO Djin-Num raids."
S11,SFX,Sfx/Resonance/window_open,P0,1,no,wav,-9,"The ember-resonance window-opening sound effect for a tower-defense game, industrial dark ambient with one allowed transcendent flavor. Rising warm noise plus a single pure metallic overtone 'ring' (like a tuning fork struck) plus high-frequency shimmer. The unmistakable signal that an opportunity has arrived. 1 second, mono, -9 LUFS, critical layer, no clipping. Must evoke the last railway of a dying ember civilization. NO fantasy chime magic, NO interface-confirm blips."
S12,SFX,Sfx/Resonance/ember_surge,P0,0.8,no,wav,-9,"The Ember Surge command activation sound effect for a tower-defense game, industrial aesthetic with fire flavor. A fire-tongue eruption 'whoosh' plus dense ember-crackle pops plus a rising pitch. Hot, dangerous, aggressive — the offensive resonance option. 800ms, stereo, -9 LUFS, critical layer, no clipping. Must evoke the last railway of a dying ember civilization. NO fireball explosion, NO generic magic burst."
S13,SFX,Sfx/Resonance/fracture_mark,P0,0.8,no,wav,-9,"The Fracture Mark command activation sound effect for a tower-defense game, industrial aesthetic with cold-crystal flavor. Clean glass-or-crystal fracturing 'crack-crack-crack' plus a descending pitch plus cold high-frequency shimmer. Cold, precise, controlling — the tactical resonance option. 800ms, stereo, -9 LUFS, critical layer, no clipping. Must evoke the last railway of a dying ember civilization. NO ice-magic sparkle, NO shatter-stinger cliché."
T1,SFX,Sfx/Tower/fire_rail_lancer,P0,0.4,no,wav,-12,"A tower-fire sound effect for the Rail Lancer (an electromagnetic railgun single-shot tower) in a tower-defense game, industrial aesthetic. Capacitor-charge whine ramp (150ms) followed by an electromagnetic 'whoosh-CRACK' release plus a metallic whip-crack. Sharp, linear, high-tech. 400ms including charge, mono, -12 LUFS, no clipping. Must evoke the last railway of a dying ember civilization. NO laser zap, NO cartoonish pew."
T2,SFX,Sfx/Tower/fire_cinder_mortar,P0,0.35,no,wav,-12,"A tower-fire sound effect for the Cinder Mortar (an AoE mortar tower) in a tower-defense game, industrial aesthetic. A muffled percussive 'thump' of the launch plus a metallic friction tail as the shell leaves the barrel. Heavy, weighty. 350ms, mono, -12 LUFS, no clipping. Must evoke the last railway of a dying ember civilization. NO cartoonish bomb, NO generic explosion."
T3,SFX,Sfx/Tower/fire_frost_coil,P1,0.6,no,wav,-15,"A tower-fire sound effect for the Frost Coil (a freezing control tower) in a tower-defense game, industrial aesthetic. Coolant-spray hiss sustained plus a crystallization 'crackle'. Cold, sustained, viscous. 600ms, mono, -15 LUFS, no clipping. Must evoke the last railway of a dying ember civilization. NO ice-magic sparkle, NO cartoonish freeze."
T4,SFX,Sfx/Tower/fire_arc_welder,P0,0.5,no,wav,-12,"A tower-fire sound effect for the Arc Welder (a chain-lightning tower) in a tower-defense game, industrial aesthetic. High-frequency electric-arc 'zzzt' discharge plus cracking as it leaps to a secondary target with a quieter secondary 'pop'. 500ms including chain, mono, -12 LUFS, no clipping. Must evoke the last railway of a dying ember civilization. NO cartoonish zap, NO sci-fi plasma."
T5,SFX,Sfx/Tower/fire_siege_drill,P0,0.7,no,wav,-12,"A tower-fire sound effect for the Siege Drill (an armor-breaking drill tower) in a tower-defense game, industrial aesthetic. Heavy machinery spin-up: electric motor acceleration plus grinding metal of the drill bit engaging. The most 'industrial machine' sound of all towers. 700ms, mono, -12 LUFS, no clipping. Must evoke the last railway of a dying ember civilization. NO cartoonish drill, NO dentist whine."
T6,SFX,Sfx/Tower/fire_ember_flak,P1,0.3,no,wav,-12,"A tower-fire sound effect for the Ember Flak (a rapid anti-air flak tower) in a tower-defense game, industrial aesthetic. Rapid-fire 'tak-tak-tak' bursts with each round's powder crack. Strong rhythmic feel. ~100ms per shot in bursts, mono, -12 LUFS, no clipping. Must evoke the last railway of a dying ember civilization. NO cartoonish machine gun, NO laser turret."
T7,SFX,Sfx/Tower/fire_resonance_beacon,P1,0.8,no,wav,-15,"A tower-fire sound effect for the Resonance Beacon (a non-lethal tactical-assist tower) in a tower-defense game, industrial aesthetic. A tuning-fork strike plus pulse dispersion: a pure metallic resonance tone plus a ring of spreading 'hum'. It is a signal, not a weapon. 800ms, mono, -15 LUFS, no clipping. Must evoke the last railway of a dying ember civilization. NO sci-fi scanner, NO magic chime."
T8,SFX,Sfx/Tower/fire_grav_snare,P1,0.6,no,wav,-12,"A tower-fire sound effect for the Grav Snare (a gravity-well endgame crowd-control tower) in a tower-defense game, industrial aesthetic with mysterious flavor. Spatial distortion: a low-frequency descending 'whooo' plus a vacuum-suction sensation. Mysterious and dangerous. 600ms, mono, -12 LUFS, no clipping. Must evoke the last railway of a dying ember civilization. NO sci-fi tractor beam, NO cartoonish whoosh."
U1,SFX,Sfx/Ui/hover,P2,0.06,no,wav,-24,"A button-hover UI sound effect for a tower-defense game, industrial aesthetic. An extremely light metallic 'tink', almost like static electricity, non-intrusive. 60ms, mono, -24 LUFS, no clipping. Must evoke the last railway of a dying ember civilization. NO cartoonish pop, NO generic UI blip."
U2,SFX,Sfx/Ui/click_confirm,P1,0.1,no,wav,-15,"A button-click-confirm UI sound effect for a tower-defense game, industrial aesthetic. A solid mechanical 'clack' plus a faint spring rebound. The feeling of two parts engaging. 100ms, mono, -15 LUFS, no clipping. Must evoke the last railway of a dying ember civilization. NO cartoonish click, NO generic UI blip."
U3,SFX,Sfx/Ui/panel_open,P2,0.25,no,wav,-18,"A panel-open UI sound effect for a tower-defense game, industrial aesthetic. A short steam-valve exhaust plus a metal sliding-rail sound. The feeling of a hatch opening. 250ms, mono, -18 LUFS, no clipping. Must evoke the last railway of a dying ember civilization. NO sci-fi whoosh, NO generic UI sweep."
U4,SFX,Sfx/Ui/panel_close,P2,0.2,no,wav,-18,"A panel-close UI sound effect for a tower-defense game, industrial aesthetic. The reverse of panel-open: a sliding rail retracting plus a muffled 'thud'. 200ms, mono, -18 LUFS, no clipping. Must evoke the last railway of a dying ember civilization. NO sci-fi whoosh, NO generic UI sweep."
U5,SFX,Sfx/Ui/tower_place,P0,0.5,no,wav,-12,"A tower-placement UI sound effect for a tower-defense game, industrial aesthetic. A heavy 'clang-thud' plus steam venting plus a base-plate engaging 'ka-chunk'. The most satisfying UI sound in the game — placing a tower should feel like deploying a war machine. 500ms, mono, -12 LUFS, no clipping. Must evoke the last railway of a dying ember civilization. NO cartoonish thud, NO generic build sound."
U6,SFX,Sfx/Ui/tower_upgrade,P0,0.4,no,wav,-12,"A tower-upgrade UI sound effect for a tower-defense game, industrial aesthetic. Mechanical upgrade: electric motor spin-up plus gear upshift plus one brighter metallic resonance chime. More refined than the placement sound. 400ms, mono, -12 LUFS, no clipping. Must evoke the last railway of a dying ember civilization. NO RPG level-up stinger, NO cartoonish sparkle."
U7,SFX,Sfx/Ui/wave_start,P0,1.5,no,wav,-12,"A wave-start UI sound effect for a tower-defense game, industrial aesthetic. A distant short siren blast (1 second) plus railway-rail vibration rising. Marks the beginning of combat. 1.5 seconds, mono, -12 LUFS, no clipping. Must evoke the last railway of a dying ember civilization. NO air-raid siren cliché, NO generic battle-start stinger."
U8,SFX,Sfx/Ui/wave_clear,P1,1.2,no,wav,-12,"A wave-clear UI sound effect for a tower-defense game, industrial aesthetic. A long steam release plus one warm metallic bell chime plus a mechanical deceleration 'sigh'. A feeling of release and respite marking the breathing window. 1.2 seconds, mono, -12 LUFS, no clipping. Must evoke the last railway of a dying ember civilization. NO victory fanfare, NO generic clear chime."
U9,SFX,Sfx/Ui/tutorial_advance,P2,0.2,no,wav,-18,"A tutorial-step-advance UI sound effect for a tower-defense game, industrial aesthetic. A gentle 'ting' plus a brief upward pitch bend. Guiding and warm. 200ms, mono, -18 LUFS, no clipping. Must evoke the last railway of a dying ember civilization. NO cartoonish ding, NO generic notification."
A1,Ambience,Ambience/grayline_junction,P1,60,yes,wav,-30,"An ambient environmental bed for the Grayline Junction map (a single-rail junction, early game) in a tower-defense game, industrial dark ambient. A train slowly passing in the distance with the rhythmic 'clack-clack' of rail joints, wind whistling across an empty platform, and an occasional distant signal bell with heavy reverb. Peaceful decay, the calm before threats. >=60s seamless loop, stereo, -30 LUFS. Must evoke the last railway of a dying ember civilization. NO traffic noise, NO modern city hum."
A2,Ambience,Ambience/ashfall_depot,P1,60,yes,wav,-28,"An ambient environmental bed for the Ashfall Depot map (an ash-covered freight yard) in a tower-defense game, industrial dark ambient. Fine ash falling as soft sand-hiss, distant low-frequency boiler pulsing, occasional metallic stress groans. Warmer and more uneasy than Grayline. >=60s seamless loop, stereo, -28 LUFS. Must evoke the last railway of a dying ember civilization. NO fire roar, NO industrial factory clatter."
A3,Ambience,Ambience/split_switch_canyon,P1,60,yes,wav,-28,"An ambient environmental bed for the Split Switch Canyon map (a branching-rail canyon) in a tower-defense game, industrial dark ambient. Echoing canyon wind, two distant trains moving in opposite directions (offset across left and right channels), loose gravel tumbling. A two-line, divided feeling. >=60s seamless loop, stereo, -28 LUFS. Must evoke the last railway of a dying ember civilization. NO canyon-animal calls, NO desert wind cliché."
A4,Ambience,Ambience/hollow_kiln_basin,P1,60,yes,wav,-26,"An ambient environmental bed for the Hollow Kiln Basin map (a ring-shaped furnace basin) in a tower-defense game, industrial dark ambient. Continuous large-cavity low-frequency resonance pulsing at 60-80Hz like a breathing furnace, furnace-fire whispers, metallic thermal-expansion 'tings'. The most oppressive and weighty ambience. >=60s seamless loop, stereo, -26 LUFS. Must evoke the last railway of a dying ember civilization. NO roaring fire, NO industrial forge clatter."
A5,Ambience,Ambience/last_ember_terminus,P1,60,yes,wav,-28,"An ambient environmental bed for the Last Ember Terminus map (the final station) in a tower-defense game, industrial dark ambient. Near-extinction: almost only wind blowing through a vast ruin with a hollow howl, an extremely low-frequency ground drone, an occasional distant siren like a final farewell. The most desolate ambience. >=60s seamless loop, stereo, -28 LUFS. Must evoke the last railway of a dying ember civilization. NO post-apocalyptic city ruins cliché, NO dramatic wind."
S14,SFX,Sfx/Scenario/signal_gate,P0,1.2,no,wav,-9,"A scenario-mechanic activation sound effect for the Signal Gate command (holds enemy deployment) in a tower-defense game, industrial aesthetic. A heavy industrial relay clunk, a descending steam-seal hiss, and a low-frequency containment hum onset. The feeling of a bulkhead slamming shut to hold the enemy back. 1.2s, mono, -9 LUFS, critical layer. Must evoke the last railway of a dying ember civilization. NO force-field hum, NO sci-fi shield."
S15,SFX,Sfx/Scenario/reinforcement_train,P0,2,no,wav,-9,"A scenario-mechanic activation sound effect for the Reserve Train command (timed reinforcement) in a tower-defense game, industrial aesthetic. A distant train horn approaching with Doppler, growing rail-clatter, then a heavy arrival brake-squeal and steam release. The feeling of relief forces arriving. 2s, mono, -9 LUFS, critical layer. Must evoke the last railway of a dying ember civilization. NO modern train horn, NO cartoonish choo-choo."
S16,SFX,Sfx/Scenario/route_switch,P0,1.5,no,wav,-9,"A scenario-mechanic activation sound effect for the Route Switch command (cycles enemy traffic center/left/right) in a tower-defense game, industrial aesthetic. A heavy mechanical switch-throw ka-CHUNK, a rail-translation rumble moving across the stereo field, a secondary clunk as the new route locks. 1.5s, stereo, -9 LUFS, critical layer. Must evoke the last railway of a dying ember civilization. NO transformer sound, NO sci-fi teleport."
S17,SFX,Sfx/Scenario/kiln_purge,P0,1.8,no,wav,-9,"A scenario-mechanic activation sound effect for the Kiln Purge command (environment-device AoE purge) in a tower-defense game, industrial aesthetic. A deep furnace-draw roar building for 1 second, then a percussive heat-blast release with ash and cinder debris. 1.8s, mono, -9 LUFS, critical layer. Must evoke the last railway of a dying ember civilization. NO explosion, NO generic fireball."
S18,SFX,Sfx/Scenario/boss_breaker,P0,1.5,no,wav,-9,"A scenario-mechanic activation sound effect for the Boss Breaker command (suppresses a boss surge phase) in a tower-defense game, industrial aesthetic. Three overlapping mechanical clunks in quick succession, a heavy electromagnetic thump, a descending metal-stress groan as the boss is forced back. 1.5s, mono, -9 LUFS, critical layer. Must evoke the last railway of a dying ember civilization. NO laser blast, NO sci-fi EMP."
S19,SFX,Sfx/Resonance/window_close,P0,0.6,no,wav,-12,"A resonance-window expiration sound effect for a tower-defense game, industrial aesthetic with one allowed transcendent flavor. A warm descending shimmer as the ember opportunity fades, the metallic overtone ringing down to silence, a soft ash-sizzle tail. The feeling of a window closing, melancholic not punitive. 600ms, mono, -12 LUFS. Must evoke the last railway of a dying ember civilization. NO error buzzer, NO power-down bleep."
S20,SFX,Sfx/Resonance/matrix_convergence,P0,2,no,wav,-6,"A matrix-convergence trigger sound effect, the rare climax of the resonance system (requires 6 specialization matches) in a tower-defense game, industrial dark ambient with transcendent flavor. The most powerful cue in the game, must feel earned. Six overlapping metallic tones converging into a single harmonic unity, a rising warm-noise swell, a female wordless hum at the peak, then a bright metallic release. 2s, stereo, -6 LUFS, critical layer. Must evoke the last railway of a dying ember civilization. NO generic power-up, NO EDM build-up drop."
S21,SFX,Sfx/Status/specialization_ult,P0,0.9,no,wav,-9,"A tower-specialization ultimate-trigger sound effect for a tower-defense game, industrial aesthetic. A bright ascending metallic harmonic sweep capped by a single pure resonant chime, with a faint mechanical overdrive underneath. A weapon reaching its final form. 900ms, mono, -9 LUFS, critical layer. Must evoke the last railway of a dying ember civilization. NO RPG level-up stinger, NO magic sparkle."
E1,SFX,Sfx/Enemy/burrow_ambush,P1,0.6,no,wav,-12,"An enemy special-mechanic sound effect for the Burrow Sapper mid-route ambush burst (at 55 percent route progress) in a tower-defense game, industrial aesthetic. An underground churning rumble building for 400ms, then a wet percussive crack as the creature surfaces, plus loose-dirt scatter. An ambush being sprung. 600ms, mono, -12 LUFS. Must evoke the last railway of a dying ember civilization. NO cartoonish pop-up, NO monster roar."
E2,SFX,Sfx/Enemy/spore_split,P1,0.8,no,wav,-12,"An enemy special-mechanic sound effect for the Spore Carrier splitting into smaller Ash Swarms on death in a tower-defense game, industrial aesthetic. A wet membrane pop followed by a flurry of small chitinous dispersal ticks spreading outward, with a faint ash-hiss. 800ms, mono, -12 LUFS. Must evoke the last railway of a dying ember civilization. NO alien birth, NO cartoonish splat."
E3,SFX,Sfx/Enemy/mimic_shift,P1,0.7,no,wav,-12,"An enemy special-mechanic sound effect for the Echo Mimic copying a threat form at spawn in a tower-defense game, industrial aesthetic. An unstable pitch-gliding metallic wobble that cannot settle, like a shape trying to lock, capped by a brief crystalline snap when it resolves. 700ms, mono, -12 LUFS. Must evoke the last railway of a dying ember civilization. NO sci-fi morph, NO transformer sound."
E4,SFX,Sfx/Enemy/attrition_siphon,P1,0.5,no,wav,-15,"An enemy special-mechanic sound effect for the Ember Leech periodic attrition siphon (drains resources) in a tower-defense game, industrial aesthetic. A low pulsing vacuum draw like a slow inhale through a metal pipe, with a faint ember-crackle. Unsettling and parasitic. 500ms, mono, -15 LUFS. Must evoke the last railway of a dying ember civilization. NO vampire drain, NO sci-fi tractor beam."
E5,SFX,Sfx/Enemy/support_link,P1,0.4,no,wav,-15,"An enemy special-mechanic sound effect for the Rail Warden support link (shielding aura onto nearby armored/heavy/boss enemies) in a tower-defense game, industrial aesthetic. A brief resonant coupling tone, two metallic notes locking into harmony, with a faint sustained hum. A defensive link engaging. 400ms, mono, -15 LUFS. Must evoke the last railway of a dying ember civilization. NO sci-fi shield hum, NO magic aura."
E6,SFX,Sfx/Enemy/elite_pressure,P1,0.5,no,wav,-15,"An enemy special-mechanic sound effect for elite enemies (husk_titan) entering a pressure state below 55 percent HP in a tower-defense game, industrial aesthetic. A low menacing mechanical groan building in intensity like a great engine pushed past its limit, with a stress-metal creak. Threatening and relentless. 500ms, mono, -15 LUFS. Must evoke the last railway of a dying ember civilization. NO monster rage, NO berserk scream."
U10,SFX,Sfx/Ui/early_dispatch,P1,0.4,no,wav,-12,"A wave-early-dispatch UI sound effect, played when the player voluntarily skips prep time to start the wave early in a tower-defense game, industrial aesthetic. A sharp steam-whistle toot plus an urgent mechanical lever-throw chunk. A decisive aggressive choice trading safety for tempo. 400ms, mono, -12 LUFS. Must evoke the last railway of a dying ember civilization. NO alarm buzzer, NO cartoonish toot."
U11,SFX,Sfx/Ui/level_select,P1,0.3,no,wav,-15,"A campaign-level-select UI sound effect for a tower-defense game, industrial aesthetic. A focused mechanical clack of a route lever engaging plus a faint railway-points translation rumble. Choosing a destination on the rail network. 300ms, mono, -15 LUFS. Must evoke the last railway of a dying ember civilization. NO generic UI blip, NO map ping."
U12,SFX,Sfx/Ui/deploy_confirm,P1,0.7,no,wav,-12,"A mission-deployment-confirm UI sound effect for a tower-defense game, industrial aesthetic. A coordinated launch sequence: a deep mechanism cycling up, a heavy relay clunk, a final steam-blast release. Committing to a mission and the line going live. 700ms, mono, -12 LUFS. Must evoke the last railway of a dying ember civilization. NO rocket launch, NO generic confirm."
U13,SFX,Sfx/Ui/chapter_reward,P1,0.8,no,wav,-12,"A chapter-reward-claim UI sound effect for a tower-defense game, industrial aesthetic. A warm metallic chord of three ascending bell tones with a subtle reverberant tail. A permanent upgrade being installed. Earned and durable, not flashy. 800ms, mono, -12 LUFS. Must evoke the last railway of a dying ember civilization. NO RPG fanfare, NO coin collect."
U14,SFX,Sfx/Ui/tutorial_complete,P2,0.5,no,wav,-15,"A tutorial-completion UI sound effect for a tower-defense game, industrial aesthetic. A brief gentle resolve: a single warm metallic bell tone with a soft decay, plus a faint mechanical sigh of release. The player is ready. 500ms, mono, -15 LUFS. Must evoke the last railway of a dying ember civilization. NO cartoonish ta-da, NO generic complete chime."
